elapsed_time,id,time,alt,lat,lng,pressure,ohm,hum,co2,temp,rssi
0:41:21,2478,15:2:2,12095.5,69.517181,15.877084,10407.59,155570.16,10.7813,21.07,-9.5469,-111
1:12:34,2479,15:2:4,12095.5,69.517181,15.877084,10391.18,155570.16,10.7812,20.99,-9.5156,-114
1:12:36,2480,15:2:6,12095.5,69.517181,15.877084,10377.0,155570.16,10.8125,21.12,-9.5312,-116
1:12:39,2481,15:2:8,12095.5,69.517181,15.877084,10362.39,155570.16,10.8125,21.11,-9.5312,-113
0:58:21,2482,15:2:11,12095.5,69.517181,15.877084,10346.75,155570.16,10.8437,21.16,-9.5312,-112
0:41:31,2483,15:2:13,12095.5,69.517181,15.877084,10336.24,155570.16,10.8594,21.18,-9.5156,-110
1:12:45,2484,15:2:15,12095.5,69.517181,15.877084,10320.77,155570.16,10.8594,21.18,-9.5156,-114
0:41:36,2485,15:2:17,12095.5,69.517181,15.877084,10305.11,155570.16,10.8906,21.11,-9.5,-110
0:41:38,2486,15:2:19,12095.5,69.517181,15.877084,10288.72,161096.59,10.875,21.23,-9.5,-111
0:41:40,2487,15:2:21,12095.5,69.517181,15.877084,10272.85,155570.16,10.9375,20.91,-9.4844,-111
0:41:42,2488,15:2:24,12095.5,69.517181,15.877084,10258.66,150400.0,10.9531,20.69,-9.4844,-112
0:41:44,2489,15:2:26,12095.5,69.517181,15.877084,10243.59,150400.0,11.0,20.87,-9.4844,-110
0:41:47,2490,15:2:28,12095.5,69.517181,15.877084,10232.65,150400.0,11.0,20.87,-9.4844,-113
0:41:49,2491,15:2:30,12095.5,69.517181,15.877084,10218.23,150400.0,11.0781,20.9,-9.4609,-119
1:13:3,2492,15:2:32,12095.5,69.517181,15.877084,10203.89,150400.0,11.2344,20.72,-9.5,-113
0:41:53,2493,15:2:35,12095.5,69.517181,15.877084,10187.61,150400.0,11.3203,20.66,-9.4766,-112
0:41:55,2494,15:2:37,12095.5,69.517181,15.877084,10175.78,150400.0,11.4219,20.53,-9.4609,-118
0:58:49,2495,15:2:39,12095.5,69.517181,15.877084,10160.09,150400.0,11.4687,20.74,-9.4766,-122
0:42:0,2496,15:2:41,12095.5,69.517181,15.877084,10148.22,150400.0,11.4688,20.63,-9.4766,-110
1:13:13,2497,15:2:43,12095.5,69.517181,15.877084,10130.29,150400.0,11.4687,20.63,-9.4766,-119
1:13:16,2498,15:2:45,12095.5,69.517181,15.877084,10115.61,150400.0,11.4844,20.39,-9.4453,-114
0:42:6,2499,15:2:48,12095.5,69.517181,15.877084,10102.14,155570.16,11.5547,20.61,-9.4297,-119
1:13:20,2500,15:2:50,12095.5,69.517181,15.877084,10085.63,150400.0,11.5859,20.28,-9.4297,-113
0:42:11,2501,15:2:52,12095.5,69.517181,15.877084,10069.78,150400.0,11.5391,20.32,-9.4453,-116
0:59:4,2502,15:2:54,12095.5,69.517181,15.877084,10052.64,155570.16,11.5547,20.16,-9.4453,-114
0:42:15,2503,15:2:56,12095.5,69.517181,15.877084,10042.95,150400.0,11.5547,20.16,-9.4453,-112
1:13:29,2504,15:2:58,12095.5,69.517181,15.877084,10026.14,150400.0,11.6172,19.98,-9.4453,-127
1:13:31,2505,15:3:1,12095.5,69.517181,15.877084,10010.84,155570.16,11.6484,19.73,-9.4297,-114
1:13:33,2506,15:3:3,12095.5,69.517181,15.877084,9994.93,155570.16,11.6719,19.54,-9.3984,-113
1:13:35,2507,15:3:5,12095.5,69.517181,15.877084,9980.5,155570.16,11.6719,19.21,-9.4141,-113
0:42:26,2508,15:3:7,12095.5,69.517181,15.877084,9967.5,155570.16,11.6484,19.23,-9.4141,-112
0:42:28,2509,15:3:9,12095.5,69.517181,15.877084,9953.85,155570.16,11.6719,18.97,-9.4141,-112
1:13:42,2510,15:3:11,11923.1,69.530594,15.803485,9940.66,155570.16,11.6719,18.97,-9.4141,-118
1:13:44,2511,15:3:14,11923.1,69.530594,15.803485,9924.47,150400.0,11.6719,18.87,-9.3906,-123
1:13:46,2512,15:3:16,11923.1,69.530594,15.803485,9913.65,150400.0,11.7031,18.47,-9.3906,-116
0:42:37,2513,15:3:18,11923.1,69.530594,15.803485,9900.37,150400.0,11.7578,18.17,-9.3984,-111
0:42:39,2514,15:3:20,11923.1,69.530594,15.803485,9883.99,150400.0,11.8516,18.09,-9.3984,-113
0:42:41,2515,15:3:22,11923.1,69.530594,15.803485,9870.93,155570.16,11.8672,18.34,-9.3906,-111
0:42:43,2516,15:3:25,11923.1,69.530594,15.803485,9856.83,150400.0,11.8672,18.34,-9.3906,-110
0:42:45,2517,15:3:27,11923.1,69.530594,15.803485,9837.76,150400.0,11.9063,18.31,-9.375,-120
0:42:48,2518,15:3:29,11923.1,69.530594,15.803485,9827.73,150400.0,11.9063,18.4,-9.3594,-119
0:42:50,2519,15:3:31,11923.1,69.530594,15.803485,9812.5,150400.0,11.9688,18.68,-9.375,-113
0:42:52,2520,15:3:33,11923.1,69.530594,15.803485,9799.95,150400.0,12.0,18.92,-9.3594,-115
0:59:46,2521,15:3:36,11923.1,69.530594,15.803485,9790.04,150400.0,12.0703,18.51,-9.3594,-113
